,bar_count,battery_level,bench_count,bike_score,bus_count,captive,city,clds,code,elevation,housing_units,id,land_area_in_sqmi,latitude,longitude,nest_id,park_count,parking_count,point,pop_density,population,precip,radius_in_miles,states,supermarket_count_1000m,temp,timestamp,uv_index,walk_score,water_area_in_sqmi,weekday,wspd,zip_code
10185,0,49,0,78,0,False,DC,OVC,,3.3930330276489262,22753.0,b74769eb-ae0b-440a-998a-eb3459db3090,4.61,38.8684,-76.98700666666667,,17,4,"(38.8684, -76.98700666666667)",10809.0,49864.0,,2.0,DC,1,18,2019-03-25 10:44:51.809996,2,73,0.15,0,7.0,20020
10186,0,94,0,92,0,False,DC,OVC,,5.518990039825439,26166.0,226289b1-af83-405d-a9b4-69157506a128,5.26,38.894695,-76.9761733333333,20d4fff2-6802-424a-8bb9-a620e53737df,18,2,"(38.894695, -76.9761733333333)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,73,0.22,0,7.0,20002
10187,0,94,0,92,0,False,DC,OVC,,5.5148892402648935,26166.0,e69f69b9-cb74-445b-ad45-cd0187112ac5,5.26,38.894695,-76.97615833333333,20d4fff2-6802-424a-8bb9-a620e53737df,18,2,"(38.894695, -76.97615833333333)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,73,0.22,0,7.0,20002
10188,0,97,0,92,0,False,DC,OVC,,7.052806854248048,26166.0,2c0706ab-f596-434d-a7c2-b2782e814f08,5.26,38.89620666666666,-76.97615833333333,6d073cf3-5762-4496-8669-7e6eaf651197,18,0,"(38.89620666666666, -76.97615833333333)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,78,0.22,0,7.0,20002
10189,2,85,0,84,0,False,DC,OVC,,81.21099853515625,18985.0,d55b560b-081c-4a74-8ae9-c460dd857e3c,2.34,38.88650500000001,-77.09569499999998,,20,1,"(38.88650500000001, -77.09569499999998)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,96,0.0,0,7.0,22201
10190,0,30,0,85,0,False,DC,OVC,,81.56403350830078,18985.0,4f1fd715-177b-4005-9f01-e177ac57f7a2,2.34,38.88659333333333,-77.09626833333333,,19,1,"(38.88659333333333, -77.09626833333333)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,97,0.0,0,7.0,22201
10191,1,58,5,87,0,False,DC,OVC,,57.19034194946289,25082.0,e3a9dba4-f93e-489f-b8e3-7ce759cc6bc6,4.88,38.94191,-77.02542166666667,,18,10,"(38.94191, -77.02542166666667)",12002.0,58536.0,,2.0,DC,4,18,2019-03-25 10:44:51.809996,2,95,0.04,0,7.0,20011
10192,0,51,7,81,0,False,DC,OVC,,57.5505485534668,25082.0,1430ef4e-9ecd-4b97-a406-74f84369c3c0,4.88,38.94231333333333,-77.02577166666667,,18,7,"(38.94231333333333, -77.02577166666667)",12002.0,58536.0,,2.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.04,0,7.0,20011
10193,0,82,7,81,0,False,DC,OVC,,57.62648391723633,25082.0,880611c5-464b-4154-b1e5-acc241295b47,4.88,38.94235666666667,-77.025795,,18,7,"(38.94235666666667, -77.025795)",12002.0,58536.0,,2.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.04,0,7.0,20011
10194,0,66,7,81,0,False,DC,OVC,,57.63586044311523,25082.0,c05cf258-aa5f-4e4c-b4bd-79d194e6ee77,4.88,38.94236333333333,-77.025765,,18,7,"(38.94236333333333, -77.025765)",12002.0,58536.0,,2.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.04,0,7.0,20011
